feature,start,stop,score,weight,color
FAMILY_SPEND_EST_FOR_EVAL,0,800,1,0.1,
FAMILY_SPEND_EST_FOR_EVAL,801,1200,2,0.1,
FAMILY_SPEND_EST_FOR_EVAL,1201,1600,3,0.1,
FAMILY_SPEND_EST_FOR_EVAL,1601,2000,4,0.1,
FAMILY_SPEND_EST_FOR_EVAL,2001,2000000,5,0.1,
CSG_TENURE_MNTHS,0,22,1,0.1,
CSG_TENURE_MNTHS,23,49,2,0.1,
CSG_TENURE_MNTHS,50,89,3,0.1,
CSG_TENURE_MNTHS,90,155,4,0.1,
CSG_TENURE_MNTHS,156,1000,5,0.1,
CSG_AND_SV_TOTAL_MRC,0,299.99,1,0.3,
CSG_AND_SV_TOTAL_MRC,300,699.99,2,0.3,
CSG_AND_SV_TOTAL_MRC,700,1199.99,3,0.3,
CSG_AND_SV_TOTAL_MRC,1100,1499.99,4,0.3,
CSG_AND_SV_TOTAL_MRC,1500,20000.99,5,0.3,
ONE_PRODUCT_IND,0,0,1,0.25,
ONE_PRODUCT_IND,1,1,5,0.25,
TOTAL_LOC_CNT,0,1,1,0.25,
TOTAL_LOC_CNT,2,2,2,0.25,
TOTAL_LOC_CNT,3,3,3,0.25,
TOTAL_LOC_CNT,4,6,4,0.25,
TOTAL_LOC_CNT,7,120,5,0.25,
FINAL_SCORE,1,1.999999,,,Other
FINAL_SCORE,2,2.999999,,,Bronze
FINAL_SCORE,3,3.5,,,Silver
FINAL_SCORE,3.5,4,,,Gold
FINAL_SCORE,4.000001,5,,,Platnium
